,bacc,animal,genotype,condition,classifier,cell,trial,equal_bacc_sample,cell_trial,cond
0,0.6682447195921339,20,Tg,Veh,QDA,25,,True,c25,Tg-Veh
0,0.6120246659815005,21,Tg,Veh,QDA,25,,True,c25,Tg-Veh
0,0.6086285195277021,22,Tg,Veh,QDA,25,,True,c25,Tg-Veh
0,0.5,23,Tg,Veh,QDA,25,,True,c25,Tg-Veh
0,0.7030146659424226,24,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.6945871873929428,25,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.7370135915099609,26,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.700621761658031,27,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.7459964412811388,28,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.6968677738070213,29,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.6930946291560103,30,Tg,GluA2,QDA,25,,True,c25,Tg-GluA2
0,0.9228318093654753,0,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.9225676052411487,1,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.6578947368421053,2,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.9541208377278891,3,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.8676923076923078,4,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.7537369207772795,5,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.9619929105947223,6,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.8270970897529959,7,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.7952775073028238,8,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.9210177577524516,9,WT,Veh,NN,25,,True,c25,WT-Veh
0,0.8166666666666667,10,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.5,11,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.9403879064460925,12,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.964841722885314,13,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.8135078534031414,14,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.7867293625914316,15,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.7380473074987418,16,WT,GluA2,NN,25,,True,c25,WT-GluA2
0,0.5,17,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.542862203329791,18,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.8585858585858586,19,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.7858703568827385,20,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.5842754367934224,21,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.7012715712988193,22,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.5,23,Tg,Veh,NN,25,,True,c25,Tg-Veh
0,0.6343020097772949,24,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.7391229873244263,25,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.8324334388382051,26,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.7233160621761658,27,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.8376334519572954,28,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.8901618667227245,29,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.8989769820971867,30,Tg,GluA2,NN,25,,True,c25,Tg-GluA2
0,0.92754225547243,0,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.9293281293560078,1,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.6491228070175439,2,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.9497513937019738,3,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.8735897435897435,4,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.7739162929745889,5,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.9527372981488775,6,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.8340670090486672,7,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.7978334956183057,8,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.92896899019348,9,WT,Veh,SVM,25,,True,c25,WT-Veh
0,0.8066526610644258,10,WT,GluA2,SVM,25,,True,c25,WT-GluA2
0,0.5042553191489362,11,WT,GluA2,SVM,25,,True,c25,WT-GluA2
0,0.9462825632249477,12,WT,GluA2,SVM,25,,True,c25,WT-GluA2
0,0.9561494551115723,13,WT,GluA2,SVM,25,,True,c25,WT-GluA2
0,0.8102617801047121,14,WT,GluA2,SVM,25,,True,c25,WT-GluA2
0,0.7916405433646813,15,WT,GluA2,SVM,25,,True,c25,WT-GluA2
