animal,condition,genotype,bacc,classifier,full_cond,sc_type
30,Veh,Tg,0.5,LR_full,Tg-Veh,full
0,GluA2,WT,0.8103610728356008,NN_full,WT-GluA2,full
1,Veh,WT,0.9652319673596692,NN_full,WT-Veh,full
2,Veh,WT,0.9636738659037042,NN_full,WT-Veh,full
3,Veh,Tg,0.5,NN_full,Tg-Veh,full
4,Veh,WT,0.8099632837904498,NN_full,WT-Veh,full
5,GluA2,WT,0.6303775261408573,NN_full,WT-GluA2,full
6,GluA2,WT,0.9662771437070824,NN_full,WT-GluA2,full
7,Veh,Tg,0.6320510588393747,NN_full,Tg-Veh,full
8,Veh,Tg,0.9792632481531736,NN_full,Tg-Veh,full
9,Veh,WT,0.9685512874910672,NN_full,WT-Veh,full
10,Veh,WT,0.9304030857825396,NN_full,WT-Veh,full
11,Veh,WT,0.8330606606385846,NN_full,WT-Veh,full
12,Veh,Tg,0.8885933672244326,NN_full,Tg-Veh,full
13,Veh,Tg,0.6498175868691443,NN_full,Tg-Veh,full
14,GluA2,Tg,0.6920245726192664,NN_full,Tg-GluA2,full
15,GluA2,Tg,0.7641647713463322,NN_full,Tg-GluA2,full
16,Veh,Tg,0.807727363134415,NN_full,Tg-Veh,full
17,Veh,WT,0.9871311029414326,NN_full,WT-Veh,full
18,GluA2,WT,0.9810067326670328,NN_full,WT-GluA2,full
19,GluA2,WT,0.9009263167714175,NN_full,WT-GluA2,full
20,Veh,WT,0.897235343522988,NN_full,WT-Veh,full
21,GluA2,WT,0.7987397912576832,NN_full,WT-GluA2,full
22,Veh,WT,0.8515825020502615,NN_full,WT-Veh,full
23,GluA2,Tg,0.923056725578741,NN_full,Tg-GluA2,full
24,GluA2,Tg,0.7185681035689969,NN_full,Tg-GluA2,full
25,GluA2,Tg,0.9503615175772406,NN_full,Tg-GluA2,full
26,GluA2,Tg,0.9399721963474535,NN_full,Tg-GluA2,full
27,Veh,WT,0.975350442159782,NN_full,WT-Veh,full
28,GluA2,WT,0.8669061488112191,NN_full,WT-GluA2,full
29,GluA2,Tg,0.9579212844558114,NN_full,Tg-GluA2,full
30,Veh,Tg,0.5,NN_full,Tg-Veh,full
0,GluA2,WT,0.6904857323991952,NB_full,WT-GluA2,full
1,Veh,WT,0.7845557546508282,NB_full,WT-Veh,full
2,Veh,WT,0.7608421099704945,NB_full,WT-Veh,full
3,Veh,Tg,0.949792974949969,NB_full,Tg-Veh,full
4,Veh,WT,0.7918445948407624,NB_full,WT-Veh,full
5,GluA2,WT,0.6980298830636358,NB_full,WT-GluA2,full
6,GluA2,WT,0.778944969382646,NB_full,WT-GluA2,full
7,Veh,Tg,0.6476576177542133,NB_full,Tg-Veh,full
8,Veh,Tg,0.905061341022162,NB_full,Tg-Veh,full
9,Veh,WT,0.7704738202513586,NB_full,WT-Veh,full
10,Veh,WT,0.7712093364499658,NB_full,WT-Veh,full
11,Veh,WT,0.6587777818618442,NB_full,WT-Veh,full
12,Veh,Tg,0.7709474614660332,NB_full,Tg-Veh,full
13,Veh,Tg,0.7068336008218952,NB_full,Tg-Veh,full
14,GluA2,Tg,0.707814435535207,NB_full,Tg-GluA2,full
15,GluA2,Tg,0.691644790152162,NB_full,Tg-GluA2,full
16,Veh,Tg,0.6901331845018646,NB_full,Tg-Veh,full
17,Veh,WT,0.863311496591822,NB_full,WT-Veh,full
18,GluA2,WT,0.835014815070144,NB_full,WT-GluA2,full
19,GluA2,WT,0.7725937413760267,NB_full,WT-GluA2,full
20,Veh,WT,0.6983508228666948,NB_full,WT-Veh,full
21,GluA2,WT,0.6900980715229251,NB_full,WT-GluA2,full
22,Veh,WT,0.6506850819341843,NB_full,WT-Veh,full
23,GluA2,Tg,0.7629257301413126,NB_full,Tg-GluA2,full
24,GluA2,Tg,0.6891462124980081,NB_full,Tg-GluA2,full
25,GluA2,Tg,0.7656499476226807,NB_full,Tg-GluA2,full
26,GluA2,Tg,0.7121206235089202,NB_full,Tg-GluA2,full
27,Veh,WT,0.8555414486838939,NB_full,WT-Veh,full
28,GluA2,WT,0.7209261413981964,NB_full,WT-GluA2,full
29,GluA2,Tg,0.7479160746424174,NB_full,Tg-GluA2,full
30,Veh,Tg,0.6951700786151433,NB_full,Tg-Veh,full
0,GluA2,WT,0.6896090075753165,NB_sc,WT-GluA2,sc
1,Veh,WT,0.7791170349776588,NB_sc,WT-Veh,sc
2,Veh,WT,0.7604936293460172,NB_sc,WT-Veh,sc
3,Veh,Tg,0.949585949899938,NB_sc,Tg-Veh,sc
4,Veh,WT,0.7810345366002606,NB_sc,WT-Veh,sc
5,GluA2,WT,0.6819487069070089,NB_sc,WT-GluA2,sc
6,GluA2,WT,0.7779556470756797,NB_sc,WT-GluA2,sc
7,Veh,Tg,0.6472690746121459,NB_sc,Tg-Veh,sc
8,Veh,Tg,0.9085726669681892,NB_sc,Tg-Veh,sc
9,Veh,WT,0.7699250121644906,NB_sc,WT-Veh,sc
10,Veh,WT,0.7723877834335956,NB_sc,WT-Veh,sc
11,Veh,WT,0.655185253252959,NB_sc,WT-Veh,sc
12,Veh,Tg,0.747616039476978,NB_sc,Tg-Veh,sc
13,Veh,Tg,0.6877286818080022,NB_sc,Tg-Veh,sc
14,GluA2,Tg,0.6955341883249131,NB_sc,Tg-GluA2,sc
15,GluA2,Tg,0.6849574742784857,NB_sc,Tg-GluA2,sc
16,Veh,Tg,0.689308107609387,NB_sc,Tg-Veh,sc
17,Veh,WT,0.8622729349165223,NB_sc,WT-Veh,sc
18,GluA2,WT,0.8355930262097957,NB_sc,WT-GluA2,sc
19,GluA2,WT,0.7739284117896275,NB_sc,WT-GluA2,sc
20,Veh,WT,0.7019902726778596,NB_sc,WT-Veh,sc
21,GluA2,WT,0.692498129355644,NB_sc,WT-GluA2,sc
22,Veh,WT,0.6530816785263578,NB_sc,WT-Veh,sc
23,GluA2,Tg,0.7627157453272484,NB_sc,Tg-GluA2,sc
24,GluA2,Tg,0.6914594047325868,NB_sc,Tg-GluA2,sc
25,GluA2,Tg,0.7639251116474088,NB_sc,Tg-GluA2,sc
26,GluA2,Tg,0.7107473166314586,NB_sc,Tg-GluA2,sc
27,Veh,WT,0.8557480737370419,NB_sc,WT-Veh,sc
28,GluA2,WT,0.7252092882201806,NB_sc,WT-GluA2,sc
29,GluA2,Tg,0.7453443213034006,NB_sc,Tg-GluA2,sc
30,Veh,Tg,0.6910554881520972,NB_sc,Tg-Veh,sc
0,GluA2,WT,0.5068302378688196,QDA_full,WT-GluA2,full
1,Veh,WT,0.8952552826446996,QDA_full,WT-Veh,full
2,Veh,WT,0.8269211915230483,QDA_full,WT-Veh,full
3,Veh,Tg,0.5,QDA_full,Tg-Veh,full
4,Veh,WT,0.860465536554575,QDA_full,WT-Veh,full
5,GluA2,WT,0.7361265435842694,QDA_full,WT-GluA2,full
6,GluA2,WT,0.8847862417088095,QDA_full,WT-GluA2,full
7,Veh,Tg,0.5461123968257358,QDA_full,Tg-Veh,full
8,Veh,Tg,0.9813286785768128,QDA_full,Tg-Veh,full
9,Veh,WT,0.8293185101017344,QDA_full,WT-Veh,full
10,Veh,WT,0.7973062091386941,QDA_full,WT-Veh,full
11,Veh,WT,0.6518092210051705,QDA_full,WT-Veh,full
12,Veh,Tg,0.7903794801365684,QDA_full,Tg-Veh,full
13,Veh,Tg,0.6439190363263536,QDA_full,Tg-Veh,full
14,GluA2,Tg,0.5435941552519485,QDA_full,Tg-GluA2,full
15,GluA2,Tg,0.6517442503784601,QDA_full,Tg-GluA2,full
16,Veh,Tg,0.7082864642770443,QDA_full,Tg-Veh,full
17,Veh,WT,0.98153562071889,QDA_full,WT-Veh,full
18,GluA2,WT,0.9145037324694444,QDA_full,WT-GluA2,full
19,GluA2,WT,0.7096912666114732,QDA_full,WT-GluA2,full
20,Veh,WT,0.7022744145091646,QDA_full,WT-Veh,full
21,GluA2,WT,0.6901046434227956,QDA_full,WT-GluA2,full
22,Veh,WT,0.6451611460843556,QDA_full,WT-Veh,full
23,GluA2,Tg,0.7669509525903399,QDA_full,Tg-GluA2,full
24,GluA2,Tg,0.5058031088082902,QDA_full,Tg-GluA2,full
25,GluA2,Tg,0.9082731319626164,QDA_full,Tg-GluA2,full
26,GluA2,Tg,0.7835918482731477,QDA_full,Tg-GluA2,full
27,Veh,WT,0.889172140804609,QDA_full,WT-Veh,full
28,GluA2,WT,0.5944369109396634,QDA_full,WT-GluA2,full
29,GluA2,Tg,0.9217462347257744,QDA_full,Tg-GluA2,full
30,Veh,Tg,0.5926396048552993,QDA_full,Tg-Veh,full
0,GluA2,WT,0.6896090075753165,QDA_sc,WT-GluA2,sc
1,Veh,WT,0.7794859221175008,QDA_sc,WT-Veh,sc
2,Veh,WT,0.7619414438372927,QDA_sc,WT-Veh,sc
3,Veh,Tg,0.9492754123248912,QDA_sc,Tg-Veh,sc
4,Veh,WT,0.7796203929079712,QDA_sc,WT-Veh,sc
5,GluA2,WT,0.6840051008030277,QDA_sc,WT-GluA2,sc
6,GluA2,WT,0.777791773431971,QDA_sc,WT-GluA2,sc
7,Veh,Tg,0.6470222429542565,QDA_sc,Tg-Veh,sc
8,Veh,Tg,0.9085476971204582,QDA_sc,Tg-Veh,sc
9,Veh,WT,0.7707370959871007,QDA_sc,WT-Veh,sc
10,Veh,WT,0.7723601569390556,QDA_sc,WT-Veh,sc
11,Veh,WT,0.6536798867896787,QDA_sc,WT-Veh,sc
12,Veh,Tg,0.7500979550060005,QDA_sc,Tg-Veh,sc
13,Veh,Tg,0.687547770567437,QDA_sc,Tg-Veh,sc
14,GluA2,Tg,0.6948061453036505,QDA_sc,Tg-GluA2,sc
15,GluA2,Tg,0.6855989115618648,QDA_sc,Tg-GluA2,sc
16,Veh,Tg,0.6899212055348971,QDA_sc,Tg-Veh,sc
17,Veh,WT,0.8628077464518914,QDA_sc,WT-Veh,sc
18,GluA2,WT,0.8343651205724423,QDA_sc,WT-GluA2,sc
19,GluA2,WT,0.7734048515802034,QDA_sc,WT-GluA2,sc
20,Veh,WT,0.7009275611177073,QDA_sc,WT-Veh,sc
21,GluA2,WT,0.692693127013231,QDA_sc,WT-GluA2,sc
22,Veh,WT,0.6542713299529663,QDA_sc,WT-Veh,sc
23,GluA2,Tg,0.7646685034914573,QDA_sc,Tg-GluA2,sc
24,GluA2,Tg,0.6915628063296457,QDA_sc,Tg-GluA2,sc
