animal,name,cond,condition,genotype,should_include,bacc,classifier,model
26,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.720226369381634,gSVM,full
27,LDA_c25_t500,WT-Veh,Veh,WT,True,0.6019123284978625,LDA,full
27,NB_c25_t500,WT-Veh,Veh,WT,True,0.7679354609707032,NB,full
27,NN_c25_t500,WT-Veh,Veh,WT,True,0.830685234927936,NN,full
27,QDA_c25_t500,WT-Veh,Veh,WT,True,0.8084491694996526,QDA,full
27,gSVM_c25_t500,WT-Veh,Veh,WT,True,0.8316919863942607,gSVM,full
28,LDA_c25_t500,WT-GluA2,GluA2,WT,True,0.6336378087524859,LDA,full
28,NB_c25_t500,WT-GluA2,GluA2,WT,True,0.6626781092183964,NB,full
28,NN_c25_t500,WT-GluA2,GluA2,WT,True,0.6821608980600575,NN,full
28,QDA_c25_t500,WT-GluA2,GluA2,WT,True,0.6824721119797708,QDA,full
28,gSVM_c25_t500,WT-GluA2,GluA2,WT,True,0.67577983699547,gSVM,full
29,LDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.5708321492848347,LDA,full
29,NB_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6144695462726153,NB,full
29,NN_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7389187269110542,NN,full
29,QDA_c25_t500,Tg-GluA2,GluA2,Tg,True,0.6415714691673771,QDA,full
29,gSVM_c25_t500,Tg-GluA2,GluA2,Tg,True,0.7622070664014398,gSVM,full
30,LDA_c25_t500,Tg-Veh,Veh,Tg,True,0.5448663505059009,LDA,full
30,NB_c25_t500,Tg-Veh,Veh,Tg,True,0.6445314001146379,NB,full
30,NN_c25_t500,Tg-Veh,Veh,Tg,True,0.6327552429368573,NN,full
30,QDA_c25_t500,Tg-Veh,Veh,Tg,True,0.643742773401241,QDA,full
30,gSVM_c25_t500,Tg-Veh,Veh,Tg,True,0.6104466192738054,gSVM,full
0,LDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6322980185145652,LDA,sc
0,NB_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6899827921930897,NB,sc
0,NN_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7266085418000918,NN,sc
0,QDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6999033516408874,QDA,sc
0,gSVM_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7271242584793732,gSVM,sc
1,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6129961366054554,LDA,sc
1,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.6711373590260098,NB,sc
1,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.7055868468612428,NN,sc
1,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6743645339052992,QDA,sc
1,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.7029962579398683,gSVM,sc
2,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.5823655673550011,LDA,sc
2,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.6818798809885147,NB,sc
2,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.6854224860155795,NN,sc
2,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6786521083434587,QDA,sc
2,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.6729554506175599,gSVM,sc
4,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.5915556245659143,LDA,sc
4,NB_c25_t500_sc,WT-Veh,Veh,WT,True,0.6584632800315058,NB,sc
4,NN_c25_t500_sc,WT-Veh,Veh,WT,True,0.625045116003907,NN,sc
4,QDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6401862585725612,QDA,sc
4,gSVM_c25_t500_sc,WT-Veh,Veh,WT,True,0.6341614634205582,gSVM,sc
6,LDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.5980713528973031,LDA,sc
6,NB_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6969040782993373,NB,sc
6,NN_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7257289234038663,NN,sc
6,QDA_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.6880983473968566,QDA,sc
6,gSVM_c25_t500_sc,WT-GluA2,GluA2,WT,True,0.7510642846220985,gSVM,sc
7,LDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.5283299050651682,LDA,sc
7,NB_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6190660346316222,NB,sc
7,NN_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6282240731402808,NN,sc
7,QDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6358728159048284,QDA,sc
7,gSVM_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.6347453746667316,gSVM,sc
8,LDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.577431592039801,LDA,sc
8,NB_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.7098083446404342,NB,sc
8,NN_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.7797293833860998,NN,sc
8,QDA_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.7233929782903663,QDA,sc
8,gSVM_c25_t500_sc,Tg-Veh,Veh,Tg,True,0.8108955223880597,gSVM,sc
9,LDA_c25_t500_sc,WT-Veh,Veh,WT,True,0.6488553306778307,LDA,sc
